win,kills,deaths,assists,gold,dmg,tower,minions,barons,dragons,ttk,tik,ft,fb,vision,ltspl,dto,g_delt,xp_delt,mmr,gold_diff,xp_diff,dmg_diff,kills_diff,kda_diff,vision_score_diff
1,31,17,50,50842,70325,9,461,1.0,2.0,9.0,2.0,1.0,1.0,153,2976,36804,1916.5,1609.6,4.600000000000364,11614,391.5,9084,14,3.409867172675522,56
1,38,28,68,71523,123964,10,767,0.0,3.0,10.0,2.0,1.0,0.0,180,3243,57641,2192.7,1347.8999999999999,-69.79999999999973,5789,-14.600000000000136,8950,10,1.9172932330827066,-41
1,37,17,60,52699,86187,8,520,0.0,4.0,9.0,2.0,1.0,0.0,129,1691,42688,2305.6,1652.6000000000001,125.19999999999982,7994,204.80000000000018,27584,20,4.732198142414861,23
1,36,29,61,58303,73527,8,539,1.0,0.0,8.0,1.0,0.0,1.0,116,1997,20278,2169.9,1524.6,139.80000000000018,10785,89.5,-6408,8,1.372605363984674,-1
1,25,17,24,56468,79658,6,676,1.0,4.0,8.0,1.0,0.0,1.0,187,3780,47896,1757.3000000000002,1380.6,-65.40000000000009,7226,115.49999999999977,1208,8,1.1623529411764706,5
1,29,22,40,66383,90195,10,826,0.0,3.0,11.0,1.0,0.0,0.0,161,3744,32856,1902.3,1322.2000000000003,13.599999999999909,8850,-69.09999999999945,2591,7,1.3777429467084639,-27
1,30,24,51,69564,108795,7,894,1.0,3.0,8.0,1.0,0.0,1.0,255,3787,43126,2027.2,1171.6999999999998,14.599999999999909,5165,-43.40000000000032,-1281,6,1.375,-1
1,39,16,71,64906,99458,11,670,1.0,3.0,11.0,3.0,1.0,1.0,202,3593,59173,2232.3,1385.4,131.0,15046,88.30000000000018,28102,23,5.618589743589744,37
1,46,35,88,71782,132615,7,693,2.0,3.0,7.0,1.0,0.0,1.0,203,2652,82771,2043.1000000000001,1403.8,183.80000000000018,5251,-409.4000000000001,18118,11,1.7416149068322984,-34
1,41,38,79,81788,135982,8,860,1.0,2.0,10.0,2.0,1.0,0.0,245,3695,59503,2024.4999999999998,1349.0,104.0,3598,47.0,-1812,3,0.40179717586649577,-31
1,18,9,22,52958,50743,9,694,1.0,3.0,9.0,2.0,1.0,1.0,186,2354,54344,2270.2999999999997,1392.6,-122.40000000000009,12944,268.5999999999999,7002,9,3.166666666666667,114
1,30,14,42,48112,58599,9,465,0.0,2.0,9.0,1.0,1.0,0.0,109,2506,26809,2639.8,1440.1,227.0,13136,122.90000000000009,12290,16,4.242857142857143,29
1,24,16,29,52064,79231,9,642,1.0,3.0,10.0,2.0,1.0,1.0,119,4151,50473,2138.9,1352.8000000000002,129.80000000000018,10276,208.5,23370,9,1.5208333333333333,18
1,29,27,49,58698,98171,7,598,1.0,2.0,7.0,1.0,1.0,1.0,153,2960,40326,1989.2000000000003,1383.9,148.80000000000018,2614,99.0,25419,2,0.7854406130268199,2
1,24,11,39,42939,61982,3,512,0.0,2.0,4.0,0.0,1.0,0.0,144,2409,29061,2027.0,1371.2000000000003,-59.80000000000018,6767,181.10000000000014,19641,13,4.8522727272727275,51
1,40,15,50,55484,66826,9,528,0.0,2.0,9.0,1.0,0.0,0.0,150,2801,45609,2338.3,1719.6,-73.79999999999973,12387,511.9000000000001,25418,25,5.225,31
1,30,13,55,56520,78011,7,647,0.0,3.0,8.0,1.0,1.0,0.0,228,3206,43221,2193.5,1360.2,204.0,12158,147.4000000000001,22591,17,5.371794871794871,85
1,36,24,39,61545,92645,9,613,1.0,2.0,9.0,2.0,1.0,1.0,170,4272,56140,2299.0,1370.7,55.40000000000009,9056,119.10000000000014,514,12,1.2638888888888888,33
1,25,9,32,34463,38740,1,381,0.0,2.0,1.0,0.0,1.0,0.0,88,2165,11224,0.0,0.0,-214.4000000000001,6535,-1205.7999999999997,10280,16,5.733333333333333,28
1,29,25,54,64186,106030,8,760,1.0,2.0,9.0,3.0,1.0,1.0,194,4441,32610,1995.5,1481.8000000000002,108.20000000000027,7288,177.60000000000036,19557,4,1.009655172413793,-16
1,30,4,23,36888,43813,5,390,0.0,2.0,6.0,1.0,1.0,0.0,70,620,19158,0.0,0.0,107.20000000000027,17969,-1138.6999999999998,21635,26,13.016666666666667,35
1,12,4,12,34136,25768,5,469,0.0,1.0,5.0,0.0,1.0,0.0,81,1454,15348,0.0,0.0,-19.75,9230,-1238.3,6342,8,5.416666666666667,18
1,22,20,50,63938,66292,8,844,0.0,2.0,8.0,1.0,1.0,0.0,218,4481,51216,1889.0,1376.8,-50.80000000000018,2368,-98.40000000000009,4973,2,1.5545454545454547,-58
1,40,23,52,64357,82269,11,670,2.0,3.0,11.0,3.0,0.0,1.0,172,3392,72715,2179.3,1447.9999999999998,-130.5999999999999,8637,-10.900000000000318,17393,17,2.65,37
1,25,21,39,62106,99240,8,685,2.0,2.0,9.0,1.0,1.0,1.0,200,3941,50874,2135.8,1220.7,46.79999999999973,7710,-178.29999999999995,18585,4,0.6476190476190475,24
1,27,26,48,62044,110581,9,737,0.0,4.0,9.0,1.0,1.0,0.0,260,4063,59559,2027.7,1338.7,196.0,713,-17.299999999999955,17438,1,0.0698005698005697,24
1,29,15,69,59908,89250,7,607,1.0,4.0,7.0,2.0,1.0,1.0,231,3979,67581,1940.3999999999999,1335.4,100.80000000000018,8471,16.600000000000136,2776,14,4.87816091954023,30
1,22,4,36,38571,31256,10,417,0.0,2.0,10.0,2.0,1.0,0.0,60,2872,17396,0.0,0.0,192.0,17698,-1170.4,16584,19,14.272727272727273,20
1,25,11,32,48791,46601,11,552,1.0,3.0,11.0,4.0,1.0,1.0,122,3835,48452,2372.4,1645.7,54.40000000000009,12426,259.79999999999995,11963,14,3.9418181818181814,30
1,42,32,74,74408,114625,7,711,2.0,2.0,8.0,1.0,1.0,1.0,245,3616,62751,2433.4,1465.1,-69.0,9511,19.799999999999955,12710,10,1.6726190476190477,87
1,14,5,22,37087,29320,6,507,0.0,1.0,6.0,0.0,1.0,0.0,96,2185,31594,0.0,0.0,-48.79999999999973,9997,-1132.7,6924,9,6.628571428571429,32
1,29,27,49,58698,98171,7,598,1.0,2.0,7.0,1.0,1.0,1.0,153,2960,40326,1989.2000000000003,1383.9,148.80000000000018,2614,99.0,25419,2,0.7854406130268199,2
1,30,15,28,52291,74427,11,544,1.0,3.0,11.0,3.0,1.0,1.0,147,3794,54035,2373.2,1563.2,79.60000000000036,14207,190.79999999999995,26894,15,2.8,52
1,27,18,51,57967,89149,9,654,1.0,2.0,9.0,2.0,0.0,1.0,191,3326,49365,2220.0,1203.3999999999999,-90.19999999999982,11087,-119.70000000000027,26634,9,2.7407407407407405,53
1,10,2,9,28230,21515,6,352,0.0,2.0,6.0,1.0,1.0,0.0,66,640,17876,0.0,0.0,134.5999999999999,10876,-1017.6,7646,8,9.1,32
1,22,20,36,69761,74068,8,881,2.0,3.0,8.0,1.0,0.0,1.0,197,6608,67025,1967.9,1141.8,46.80000000000018,256,-246.50000000000023,-32265,2,0.08181818181818157,-58
1,25,11,34,39481,57352,4,427,0.0,3.0,4.0,0.0,1.0,0.0,92,2831,40944,0.0,0.0,235.5999999999999,9295,-1387.9,18444,14,4.123636363636363,23
1,27,28,49,68425,117537,9,769,1.0,5.0,9.0,2.0,1.0,0.0,214,3203,70010,2025.8999999999999,1542.0,82.40000000000009,6314,196.19999999999982,30306,-1,0.07142857142857162,11
1,24,15,38,54509,86568,9,639,1.0,3.0,9.0,2.0,1.0,1.0,142,4164,59212,1991.7,1492.0,124.19999999999982,9674,166.20000000000005,10315,9,2.5500000000000007,43
1,32,24,42,59092,92386,10,580,1.0,4.0,10.0,2.0,1.0,1.0,169,3195,67329,2338.5,1662.4,54.80000000000018,14455,153.70000000000005,17724,8,0.9270833333333335,23
1,26,20,38,48322,64442,4,521,1.0,3.0,4.0,0.0,1.0,1.0,141,2863,45725,2246.7,1502.1,-9.199999999999818,5188,153.0999999999999,8948,6,0.9692307692307693,34
1,1,1,1,5237,1651,0,44,0.0,0.0,0.0,0.0,0.0,0.0,2,0,747,0.0,0.0,-34.0,832,0.0,321,1,2.0,-1
1,22,16,50,42677,48652,7,460,0.0,1.0,7.0,1.0,1.0,0.0,120,2301,26923,2195.9,1262.2,161.39999999999964,6295,-183.29999999999995,584,6,2.590909090909091,35
1,11,2,13,30663,20380,3,440,0.0,2.0,3.0,0.0,1.0,0.0,78,347,17183,0.0,0.0,98.80000000000018,8666,-1283.3000000000002,7774,9,11.727272727272727,21
1,21,10,45,45059,49462,9,490,0.0,3.0,9.0,2.0,1.0,0.0,104,2033,37616,2426.4,1457.1999999999998,-192.20000000000027,12191,155.5,8245,11,5.409523809523809,47
1,24,3,27,39005,39708,9,444,0.0,2.0,9.0,2.0,1.0,0.0,82,3071,18955,0.0,0.0,71.0,15727,-1109.3,14257,21,16.75,35
1,36,30,56,65377,113265,8,649,2.0,2.0,9.0,1.0,0.0,1.0,194,2969,61480,2256.5,1302.7,159.79999999999973,6811,-146.19999999999982,10036,6,0.6500000000000004,12
1,26,14,39,50499,61529,5,546,1.0,3.0,5.0,0.0,1.0,1.0,119,3458,48967,2484.8999999999996,1318.6,50.0,8665,24.09999999999991,11930,12,3.4120879120879124,33
1,17,7,11,35458,34589,5,453,0.0,1.0,5.0,1.0,1.0,0.0,80,2527,14142,0.0,0.0,-108.0,8957,-1184.5,14147,10,3.0588235294117645,3
1,22,8,31,42887,43448,5,475,0.0,1.0,5.0,0.0,1.0,0.0,110,2918,37455,2301.3,1479.8,18.0,10250,183.29999999999995,12497,14,5.8522727272727275,20
1,42,28,77,61856,96877,6,633,1.0,4.0,7.0,1.0,0.0,1.0,199,2686,55252,2365.8,1512.3,-24.59999999999991,8336,-193.30000000000018,20844,14,2.583333333333333,92
1,31,21,62,52937,82164,7,516,1.0,2.0,7.0,1.0,0.0,1.0,117,2281,28861,2535.3,1454.3,63.40000000000009,12743,130.5,29684,11,3.0414746543778803,19
1,24,9,33,55285,65299,10,662,1.0,4.0,10.0,2.0,1.0,1.0,163,4490,59952,2267.0,1465.4,-29.59999999999991,15432,260.5000000000002,20221,15,5.166666666666666,62
1,14,5,16,40089,41843,5,547,0.0,3.0,5.0,0.0,1.0,0.0,107,1750,28510,2234.7999999999997,1266.7000000000003,207.20000000000027,8359,75.10000000000014,14709,9,5.142857142857143,38
1,31,23,69,63366,120096,8,645,2.0,2.0,8.0,1.0,0.0,1.0,177,3491,67056,2282.7999999999997,1273.8999999999999,155.4000000000001,8933,-92.0,19618,8,2.1865357643758765,-14
1,24,14,55,59054,70212,9,669,1.0,3.0,10.0,1.0,0.0,1.0,183,4719,68047,2318.0,1340.2,35.59999999999991,10600,-83.20000000000005,7843,10,4.101190476190476,60
1,51,34,79,73401,123607,9,617,2.0,2.0,9.0,2.0,0.0,1.0,243,3295,59594,2147.2000000000003,1224.4,8.799999999999727,8759,-303.0999999999999,20038,17,2.4196832579185523,49
1,47,36,82,72654,137698,8,679,1.0,2.0,9.0,2.0,1.0,1.0,194,2333,49193,2079.9,1575.4,-86.59999999999991,9990,48.600000000000364,25454,11,1.9237588652482271,0
1,25,14,49,53433,56204,4,628,1.0,1.0,4.0,0.0,0.0,1.0,163,3344,27553,1740.0,1292.5,44.75,3791,-19.0,3112,11,3.565714285714286,12
